                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.45884,                0.29428,                0.86009,                0.96541,                0.92318,                0.98115,                0.87584,                0.36932,                0.18002,                0.82579,              0.0066835,              0.0066835,              0.0066835
                     69,                0.45541,                0.29423,                0.85956,                0.95775,                0.93014,                0.98221,                0.87395,                0.36769,                0.17941,                0.82572,               0.006634,               0.006634,               0.006634
                     70,                0.45755,                0.29482,                0.85851,                  0.945,                 0.9412,                0.98338,                0.87824,                0.36743,                0.17784,                0.82518,              0.0065845,              0.0065845,              0.0065845
                     71,                 0.4537,                0.28952,                0.85807,                 0.9622,                 0.9237,                0.99024,                 0.8844,                0.36645,                 0.1763,                0.82521,               0.006535,               0.006535,               0.006535
                     72,                0.45123,                0.28784,                0.85681,                0.94099,                0.93928,                0.98574,                0.88276,                0.36655,                0.17624,                0.82521,              0.0064855,              0.0064855,              0.0064855
                     73,                0.45339,                0.28915,                 0.8592,                0.95759,                0.93944,                0.98561,                0.88064,                 0.3667,                0.17567,                0.82516,               0.006436,               0.006436,               0.006436
                     74,                0.45535,                 0.2925,                0.85852,                0.96892,                0.92766,                0.98537,                0.88376,                 0.3654,                0.17724,                0.82482,              0.0063865,              0.0063865,              0.0063865
                     75,                 0.4511,                0.28693,                0.85656,                0.96513,                0.93834,                   0.99,                0.88461,                0.36397,                0.17606,                0.82466,               0.006337,               0.006337,               0.006337
                     76,                 0.4529,                0.28864,                0.85835,                0.96502,                0.93855,                0.98278,                0.87872,                0.36343,                0.17459,                 0.8246,              0.0062875,              0.0062875,              0.0062875
                     77,                0.45104,                0.28722,                0.85698,                0.95824,                0.94021,                0.98352,                0.87935,                0.36255,                0.17432,                0.82448,               0.006238,               0.006238,               0.006238
                     78,                 0.4472,                0.28318,                 0.8555,                0.94795,                 0.9519,                 0.9852,                0.88066,                0.36169,                0.17386,                0.82434,              0.0061885,              0.0061885,              0.0061885
                     79,                0.44757,                0.28383,                0.85633,                0.96112,                0.93873,                0.98513,                0.87811,                0.36261,                0.17409,                0.82433,               0.006139,               0.006139,               0.006139
                     80,                0.44842,                0.28433,                0.85657,                0.96493,                0.94857,                0.99033,                0.88268,                0.36244,                0.17263,                0.82453,              0.0060895,              0.0060895,              0.0060895
                     81,                0.44694,                0.28486,                0.85619,                0.95396,                0.94776,                0.98532,                0.87938,                 0.3615,                0.17211,                0.82419,                0.00604,                0.00604,                0.00604
                     82,                 0.4477,                0.28347,                0.85605,                0.95014,                0.94739,                0.98528,                0.87964,                0.36148,                0.17211,                0.82459,              0.0059905,              0.0059905,              0.0059905
                     83,                0.44484,                0.28128,                0.85569,                0.96731,                0.94493,                0.98518,                0.87947,                0.36103,                0.17142,                0.82464,               0.005941,               0.005941,               0.005941
                     84,                0.44552,                0.28071,                0.85586,                 0.9654,                0.94288,                0.97891,                0.87543,                 0.3597,                0.17148,                0.82409,              0.0058915,              0.0058915,              0.0058915
                     85,                0.44728,                0.28367,                0.85676,                0.96205,                0.93645,                0.98065,                0.87772,                 0.3593,                0.17085,                0.82389,               0.005842,               0.005842,               0.005842
